Date,Predicted
2025-05-01,24.456000000000014
2025-05-02,24.542000000000016
2025-05-03,24.542000000000016
2025-05-04,24.593500000000013
2025-05-05,24.593500000000013
2025-05-06,24.593500000000013
2025-05-07,24.593500000000013
2025-05-08,24.593500000000013
2025-05-09,24.593500000000013
2025-05-10,24.593500000000013
2025-05-11,24.593500000000013
2025-05-12,24.593500000000013
2025-05-13,24.593500000000013
2025-05-14,24.593500000000013
2025-05-15,24.593500000000013
2025-05-16,24.593500000000013
2025-05-17,24.593500000000013
2025-05-18,24.593500000000013
2025-05-19,24.593500000000013
2025-05-20,24.593500000000013
2025-05-21,24.593500000000013
2025-05-22,24.593500000000013
2025-05-23,24.593500000000013
2025-05-24,24.593500000000013
2025-05-25,24.593500000000013
2025-05-26,24.593500000000013
2025-05-27,24.593500000000013
2025-05-28,24.593500000000013
2025-05-29,24.593500000000013
2025-05-30,24.593500000000013
2025-05-31,24.593500000000013
